orth;seqname;start;end;strand
ASTE006339;scaffold_00006;1743724;1744242;+
ASTE006340;scaffold_00006;1741889;1742239;-
ASTE006344;scaffold_00006;1711339;1711563;-
ASTE006295;scaffold_00006;2584692;2585758;-
ASTE006347;scaffold_00006;1552139;1553650;+
ASTE006353;scaffold_00006;1506825;1506953;+
ASTE006354;scaffold_00006;1506111;1506287;-
ASTE006356;scaffold_00006;1485478;1485675;+
ASTE006360;scaffold_00006;1442560;1443363;+
ASTE006294;scaffold_00006;2602928;2604166;-
ASTE006371;scaffold_00006;1287318;1287327;-
ASTE006379;scaffold_00006;1243783;1243892;+
ASTE006395;scaffold_00006;940082;940197;+
ASTE006404;scaffold_00006;834447;835451;-
ASTE006406;scaffold_00006;717151;717242;+
ASTE006414;scaffold_00006;628629;629579;-
ASTE006419;scaffold_00006;586521;586662;+
ASTE006428;scaffold_00006;383412;383699;-
ASTE015940;scaffold_00002;4206847;4207161;+
ASTE006431;scaffold_00006;359422;361254;-
ASTE006434;scaffold_00006;240638;243544;+
ASTE006446;scaffold_00006;150731;152311;+
ASTE006468;scaffold_00057;272908;272921;+
ASTE006477;scaffold_00057;354768;354862;+
ASTE006471;scaffold_00057;334419;335348;+
ASTE006474;scaffold_00057;344709;345380;+
ASTE006484;scaffold_00057;432332;433146;+
ASTE006301;scaffold_00006;2297498;2299204;+
ASTE006314;scaffold_00006;2101472;2102251;-
ASTE006319;scaffold_00006;2004036;2004866;-
ASTE006327;scaffold_00006;1916879;1917470;-
ASTE006329;scaffold_00006;1850090;1850373;+
ASTE006330;scaffold_00006;1850090;1850373;+
ASTE006358;scaffold_00006;1470695;1472179;+
ASTE006355;scaffold_00006;1506111;1506287;-
ASTE006363;scaffold_00006;1419455;1420090;+
ASTE006377;scaffold_00006;1257009;1257336;-
ASTE006378;scaffold_00006;1257009;1257336;-
NA;NA;NA;NA;NA
ASTE006396;scaffold_00006;940082;940197;+
ASTE006393;scaffold_00006;950946;950985;-
ASTE006410;scaffold_00493;1215;1397;+
ASTE006405;scaffold_00006;732495;732500;-
ASTE006423;scaffold_00006;435060;435118;+
ASTE006435;scaffold_00006;240638;243544;+
NA;NA;NA;NA;NA
ASTE006451;scaffold_00006;70041;70892;+
ASTE006482;scaffold_00057;391719;391723;+
ASTE006470;scaffold_00057;332755;333271;-
NA;NA;NA;NA;NA
ASTE006320;scaffold_00006;1997159;1997396;+
ASTE006326;scaffold_00006;1942497;1942537;+
ASTE006328;scaffold_00006;1878442;1878462;-
ASTE006337;scaffold_00006;1750774;1750835;+
ASTE006342;scaffold_00006;1737257;1737586;-
ASTE006336;scaffold_00006;1756132;1756162;+
ASTE006341;scaffold_00006;1739498;1740646;+
ASTE006338;scaffold_00006;1743724;1744242;+
ASTE006292;scaffold_00006;2621848;2621879;+
ASTE006350;scaffold_00006;1522311;1522395;-
ASTE006352;scaffold_00006;1510302;1510808;-
ASTE006348;scaffold_00006;1549786;1549917;-
ASTE006366;scaffold_00006;1398955;1399167;+
ASTE006365;scaffold_00006;1412924;1412993;+
ASTE006359;scaffold_00006;1467370;1468811;-
ASTE006368;scaffold_00006;1382876;1382909;-
ASTE006369;scaffold_00006;1361792;1361839;-
ASTE006375;scaffold_00006;1266232;1267290;+
ASTE006373;scaffold_00751;3866;3923;-
ASTE006374;scaffold_00006;1268303;1268477;-
NA;NA;NA;NA;NA
ASTE006381;scaffold_00006;1229752;1230501;+
ASTE006383;scaffold_00006;1217287;1217306;-
ASTE006382;scaffold_00006;1224660;1224798;-
ASTE006384;scaffold_00006;1187650;1187684;-
ASTE006385;scaffold_00006;1169635;1169663;+
ASTE006388;scaffold_00006;1124293;1124444;-
NA;NA;NA;NA;NA
ASTE015892;scaffold_00039;1024238;1024586;-
ASTE006391;scaffold_00006;971743;971770;+
ASTE006392;scaffold_00006;957287;957354;+
ASTE006397;scaffold_00006;939184;939256;-
ASTE006401;scaffold_00006;911673;912150;-
ASTE006400;scaffold_00006;913958;915541;-
ASTE006402;scaffold_00006;901113;901200;+
ASTE006403;scaffold_00006;841702;842664;-
ASTE006408;scaffold_00006;705983;706665;+
NA;NA;NA;NA;NA
ASTE006407;scaffold_00006;713750;713753;-
ASTE006416;scaffold_00006;625849;625928;-
ASTE006415;scaffold_00006;626475;626516;+
ASTE006420;scaffold_00006;563415;563563;+
ASTE006412;scaffold_00006;646274;646284;-
ASTE006413;scaffold_00006;632967;633039;-
ASTE006421;scaffold_00006;526876;526998;+
ASTE006422;scaffold_00006;526876;526998;+
ASTE006424;scaffold_00006;415978;416140;+
ASTE006425;scaffold_00006;414970;415132;-
ASTE006429;scaffold_00006;369932;371547;-
ASTE006433;scaffold_00006;264663;264940;+
NA;NA;NA;NA;NA
ASTE006438;scaffold_00006;217718;218562;-
ASTE006439;scaffold_00006;208805;208965;+
ASTE006441;scaffold_00006;192668;192867;+
ASTE006448;scaffold_00006;105793;106036;+
ASTE006445;scaffold_00006;153346;153538;-
ASTE006447;scaffold_00006;111706;112232;-
ASTE006449;scaffold_00006;103773;103992;-
NA;NA;NA;NA;NA
ASTE006457;scaffold_00006;23259;23532;-
ASTE006458;scaffold_00006;21038;21197;-
ASTE006459;scaffold_00006;14121;14152;+
ASTE006462;scaffold_00057;7996;8042;-
ASTE006460;scaffold_00006;13022;13066;-
ASTE006455;scaffold_00006;30368;32409;-
ASTE006464;scaffold_00057;16673;16721;-
NA;NA;NA;NA;NA
ASTE006465;scaffold_00057;18152;18698;+
ASTE006456;scaffold_00006;30368;32409;-
ASTE006296;scaffold_00006;2534703;2534718;-
ASTE006466;scaffold_00057;26735;26770;+
ASTE006297;scaffold_00006;2498276;2499668;+
ASTE006467;scaffold_00057;247728;247974;+
ASTE006469;scaffold_00057;332755;333271;-
ASTE006481;scaffold_00057;390284;390675;-
ASTE006480;scaffold_00057;377576;378155;+
ASTE006487;scaffold_00057;459130;459172;-
NA;NA;NA;NA;NA
ASTE006489;scaffold_00057;532341;532549;+
ASTE006302;scaffold_00006;2295835;2296085;-
ASTE006303;scaffold_00006;2292218;2292263;-
ASTE006300;scaffold_00006;2303551;2303685;-
ASTE006316;scaffold_00006;2096363;2096467;-
ASTE006310;scaffold_00006;2128788;2128868;-
ASTE006313;scaffold_00006;2112362;2112498;+
ASTE006311;scaffold_00006;2123804;2123873;+
ASTE006315;scaffold_00006;2097137;2097401;+
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
ASTE006317;scaffold_00006;2084459;2084657;+
ASTE006322;scaffold_00006;1970529;1970548;-
ASTE006325;scaffold_00006;1949949;1950109;+
ASTE006323;scaffold_00006;1949949;1950109;+
ASTE006332;scaffold_00006;1779624;1779650;-
ASTE006331;scaffold_00006;1780862;1780988;+
ASTE006335;scaffold_00006;1763551;1763565;+
ASTE006333;scaffold_00006;1773460;1773471;+
ASTE006343;scaffold_00006;1732848;1732978;+
ASTE006345;scaffold_00006;1660049;1661049;+
ASTE006346;scaffold_00006;1584037;1584139;+
ASTE006293;scaffold_00006;2618321;2618473;-
ASTE006291;scaffold_00006;2647687;2647884;-
ASTE006351;scaffold_00006;1512322;1513153;+
ASTE006349;scaffold_00006;1539925;1539989;+
ASTE006357;scaffold_00006;1485478;1485675;+
ASTE006362;scaffold_00006;1426514;1426816;+
ASTE006364;scaffold_00006;1417404;1418138;-
ASTE006367;scaffold_00006;1391240;1391715;-
ASTE006361;scaffold_00006;1433116;1433141;+
ASTE006376;scaffold_00006;1265691;1265764;-
ASTE006370;scaffold_00006;1300950;1301435;-
ASTE006386;scaffold_00006;1143146;1143555;+
ASTE006390;scaffold_00006;971743;971770;+
ASTE006399;scaffold_00006;930560;930880;-
ASTE006398;scaffold_00006;936465;936610;+
ASTE006394;scaffold_00006;946780;946908;+
ASTE006411;scaffold_00006;679390;679977;+
ASTE006417;scaffold_00006;606380;606385;+
