"";"ensembl_gene_id";"chromosome_name";"start_position";"end_position";"strand";"ensembl_gene_id";"chromosome_name";"start_position";"end_position";"strand"
"1";"ASTE007649";"scaffold_00043";414416;414740;"-";"AGAP010327";"3L";869948;875290;-1
"2";"ASTE007644";"scaffold_00043";353271;353404;"-";"AGAP010320";"3L";643738;644467;-1
"4";"ASTE007639";"scaffold_00043";291889;291900;"-";"AGAP012466";"UNKN";4564723;4589021;-1
"5";"ASTE007640";"scaffold_00043";307550;309898;"-";"AGAP012465";"UNKN";4489520;4491661;1
"6";"ASTE007641";"scaffold_00043";326685;326770;"-";"AGAP012498";"UNKN";8286148;8288258;1
"7";"ASTE007645";"scaffold_00043";353586;353671;"+";"AGAP010321";"3L";666756;668138;1
"8";"ASTE007647";"scaffold_00043";378709;378759;"+";"AGAP010324";"3L";761986;827652;1
"9";"ASTE007646";"scaffold_00043";355205;355300;"-";"AGAP010322";"3L";670627;671544;-1
"10";"ASTE007650";"scaffold_00043";423992;424193;"+";"AGAP010328";"3L";884186;885693;1
"11";"ASTE007638";"scaffold_00043";286112;286519;"+";"AGAP010741";"3L";9234037;9234988;1
"15";"ASTE007653";"scaffold_00043";564869;564967;"+";"AGAP027982";"3L";1333668;1386667;-1
"16";"ASTE007654";"scaffold_00043";564869;564967;"+";"AGAP028612";"3L";1289504;1301424;1
"17";"ASTE007222";"scaffold_00043";229904;229937;"-";"AGAP012461";"UNKN";4121046;4160150;1
"18";"ASTE007246";"scaffold_00043";60833;62456;"+";"AGAP004683";"2L";485698;488369;-1
"19";"ASTE007218";"scaffold_00043";265815;265820;"-";"AGAP012462";"UNKN";4254931;4258877;1
"20";"ASTE007224";"scaffold_00043";224704;224981;"-";"AGAP012523";"UNKN";10902878;10905731;-1
"21";"ASTE007225";"scaffold_00043";220748;221526;"-";"AGAP010317";"3L";413217;415064;1
"22";"ASTE007226";"scaffold_00043";213697;213937;"+";"AGAP010314";"3L";356758;377200;1
"23";"ASTE007221";"scaffold_00043";236949;237265;"+";"AGAP012460";"UNKN";4103349;4106447;-1
"24";"ASTE007227";"scaffold_00043";213697;213937;"+";"AGAP010315";"3L";377201;388139;-1
"25";"ASTE007217";"scaffold_00043";278617;278898;"-";"AGAP012487";"UNKN";6967611;6970199;-1
"26";"ASTE007231";"scaffold_00043";183539;184210;"+";"AGAP010311";"3L";119535;125410;-1
"27";"ASTE007229";"scaffold_00043";202961;203078;"-";"AGAP012525";"UNKN";10943322;10944622;-1
"28";"ASTE007233";"scaffold_00043";163621;163706;"+";"AGAP010310";"3L";66479;82270;-1
"29";"ASTE007237";"scaffold_00043";110641;111009;"+";"AGAP012684";"UNKN";23505605;23507237;-1
"30";"ASTE007239";"scaffold_00043";103250;103276;"+";"AGAP001056";"X";21755596;21762662;-1
"31";"ASTE007240";"scaffold_00043";93778;93965;"+";"AGAP004684";"2L";493039;493543;1
"32";"ASTE007219";"scaffold_00043";254108;254674;"-";"AGAP012707";"UNKN";24457627;24458654;-1
"33";"ASTE007220";"scaffold_00043";246437;246456;"-";"AGAP012495";"UNKN";8191509;8192279;1
"35";"ASTE007228";"scaffold_00043";203499;203776;"+";"AGAP010313";"3L";293919;305802;-1
"36";"ASTE007247";"scaffold_00043";58506;59883;"-";"AGAP004682";"2L";433503;461627;-1
"37";"ASTE007244";"scaffold_00043";84516;84672;"-";"AGAP013143";"2R";61011618;61175271;-1
"38";"ASTE007230";"scaffold_00043";191530;191699;"-";"AGAP010312";"3L";168567;195705;-1
"39";"ASTE007235";"scaffold_00043";138059;138157;"-";"AGAP004674";"2R";61303692;61306248;-1
"40";"ASTE007234";"scaffold_00043";144990;145030;"+";"AGAP004675";"2R";61414929;61417946;1
"41";"ASTE007236";"scaffold_00043";125113;125795;"-";"AGAP002508";"2R";22123544;22127039;-1
"42";"ASTE007238";"scaffold_00043";108322;109316;"-";"AGAP012610";"UNKN";19885350;19885731;1
"43";"ASTE007241";"scaffold_00043";93778;93965;"+";"AGAP004685";"2L";493579;497632;-1
"44";"ASTE007243";"scaffold_00043";86161;86272;"+";"AGAP012622";"UNKN";21290487;21291198;-1
"45";"ASTE007242";"scaffold_00043";92072;92159;"-";"AGAP004671";"2R";61176240;61192306;1
"46";"ASTE014817";"scaffold_00043";244126;244375;"-";"AGAP012496";"UNKN";8193743;8194926;1
"48";"ASTE006670";"scaffold_00043";1314086;1314799;"-";"AGAP028223";"3L";2448546;2449463;-1
"49";"ASTE006690";"scaffold_00043";1209776;1210327;"-";"AGAP010369";"3L";2279614;2280171;-1
"50";"ASTE006700";"scaffold_00043";1093457;1093477;"-";"AGAP010358";"3L";2169245;2174963;-1
"51";"ASTE006706";"scaffold_00043";853319;854494;"+";"AGAP010352";"3L";1954589;1955761;1
"52";"ASTE006716";"scaffold_00043";766311;767214;"-";"AGAP010342";"3L";1807945;1815119;-1
"53";"ASTE006658";"scaffold_00043";1524184;1524223;"+";"AGAP010397";"3L";2696620;2698349;1
"54";"ASTE006665";"scaffold_00043";1424658;1425059;"+";"AGAP010391";"3L";2586997;2587651;1
"55";"ASTE006687";"scaffold_00043";1231354;1232512;"+";"AGAP010372";"3L";2316860;2318432;1
"57";"ASTE006718";"scaffold_00043";717493;718141;"-";"AGAP010340";"3L";1729138;1738615;-1
"58";"ASTE006656";"scaffold_00043";1539753;1539767;"+";"AGAP010398";"3L";2705825;2709589;1
"59";"ASTE006657";"scaffold_00043";1535558;1535668;"-";"AGAP010396";"3L";2698657;2702822;-1
"60";"ASTE006659";"scaffold_00043";1498992;1499455;"-";"AGAP010395";"3L";2667745;2670952;-1
"61";"ASTE006672";"scaffold_00043";1308573;1308710;"-";"AGAP010386";"3L";2436355;2438695;-1
"62";"ASTE006674";"scaffold_00043";1297011;1297062;"+";"AGAP010385";"3L";2430997;2433934;-1
"63";"ASTE006671";"scaffold_00043";1310622;1311289;"-";"AGAP010387";"3L";2444095;2447852;-1
"65";"ASTE006673";"scaffold_00043";1297011;1297062;"+";"AGAP028494";"3L";2435439;2436427;1
"66";"ASTE006676";"scaffold_00043";1293867;1294074;"+";"AGAP010383";"3L";2418050;2420425;1
"67";"ASTE006681";"scaffold_00043";1251495;1252267;"+";"AGAP010377";"3L";2369606;2371607;-1
"68";"ASTE006677";"scaffold_00043";1281176;1281321;"-";"AGAP010382";"3L";2396139;2402310;-1
"69";"ASTE006679";"scaffold_00043";1269110;1269274;"-";"AGAP010380";"3L";2388740;2391284;-1
"70";"ASTE006683";"scaffold_00043";1248355;1248369;"-";"AGAP028146";"3L";2351022;2354300;-1
"71";"ASTE006684";"scaffold_00043";1244675;1244740;"-";"AGAP010376";"3L";2343836;2347311;-1
"72";"ASTE006688";"scaffold_00043";1221103;1221328;"-";"AGAP010371";"3L";2288072;2290171;-1
"73";"ASTE006685";"scaffold_00043";1238405;1238476;"+";"AGAP028694";"3L";2324923;2325497;1
"74";"ASTE006692";"scaffold_00043";1193311;1193334;"+";"AGAP010367";"3L";2260665;2271892;1
"77";"ASTE006691";"scaffold_00043";1197282;1197706;"+";"AGAP010368";"3L";2272134;2274785;-1
