"";"ensembl_gene_id";"chromosome_name";"start_position";"end_position";"strand"
"1";"AGAP004677";"2L";157348;186936;-1
"2";"AGAP004678";"2L";203779;205293;1
"3";"AGAP004679";"2L";207894;210460;1
"4";"AGAP004680";"2L";271285;271815;1
"5";"AGAP004681";"2L";358329;359280;-1
"6";"AGAP004682";"2L";433503;461627;-1
"7";"AGAP004683";"2L";485698;488369;-1
"8";"AGAP004684";"2L";493039;493543;1
"9";"AGAP004685";"2L";493579;497632;-1
"10";"AGAP004686";"2L";742004;747057;1
"11";"AGAP004687";"2L";819113;819301;-1
"12";"AGAP004688";"2L";1018044;1019196;-1
"13";"AGAP004689";"2L";1052036;1057434;1
"14";"AGAP004690";"2L";1133037;1133751;-1
"15";"AGAP004691";"2L";1272330;1301008;-1
"16";"AGAP004692";"2L";1411011;1441380;1
"17";"AGAP004693";"2L";1527686;1533479;-1
"18";"AGAP004694";"2L";1595176;1602296;-1
"19";"AGAP004695";"2L";1834186;1835605;1
"20";"AGAP004696";"2L";1926520;1965505;-1
"21";"AGAP004698";"2L";1969023;1971192;-1
"22";"AGAP004699";"2L";1973601;1976357;1
"23";"AGAP004700";"2L";2013634;2015127;1
"24";"AGAP004701";"2L";2074972;2120041;1
"25";"AGAP004702";"2L";2163142;2164726;1
"26";"AGAP004703";"2L";2248667;2253660;1
"27";"AGAP004704";"2L";2253748;2255495;-1
"28";"AGAP004706";"2L";2305657;2306118;1
"29";"AGAP004707";"2L";2358158;2431617;1
"30";"AGAP004708";"2L";2471997;2474401;-1
"31";"AGAP004709";"2L";2482553;2483310;1
"32";"AGAP004710";"2L";2483226;2483631;-1
"33";"AGAP004711";"2L";2487770;2489611;1
"34";"AGAP004712";"2L";2506572;2507341;1
"35";"AGAP004713";"2L";2559360;2559808;-1
"36";"AGAP004714";"2L";2573498;2574460;1
"37";"AGAP004715";"2L";2615657;2620722;1
"38";"AGAP004716";"2L";2624121;2627818;1
"39";"AGAP004717";"2L";2643650;2679635;1
"40";"AGAP004718";"2L";2687938;2714108;1
"41";"AGAP004719";"2L";2714472;2719933;-1
"42";"AGAP028411";"3L";24220789;24221280;1
"43";"AGAP028129";"2L";3158856;3159260;-1
"44";"AGAP004720";"2L";2727394;2742060;1
"45";"AGAP004721";"2L";2749855;2752163;-1
"46";"AGAP004722";"2L";2752351;2753362;-1
"47";"AGAP028395";"2L";19879021;19879902;1
"48";"AGAP004723";"2L";2756472;2760324;1
"49";"AGAP004724";"2L";2775211;2796481;1
"50";"AGAP004725";"2L";2797664;2801444;1
"51";"AGAP028013";"3L";41062003;41062595;-1
"52";"AGAP004726";"2L";2804809;2807762;-1
"53";"AGAP004727";"2L";2812213;2814510;1
"54";"AGAP028030";"3L";35706915;35711898;1
"55";"AGAP004728";"2L";2824043;2831367;-1
"56";"AGAP004729";"2L";2844659;2847575;-1
"57";"AGAP004730";"2L";2865742;2866766;1
"58";"AGAP004731";"2L";2867519;2886486;-1
"59";"AGAP004732";"2L";2898242;2906165;-1
