"";"ensembl_gene_id";"chromosome_name";"start_position";"end_position";"strand"
"1";"ASTE006339";"KB664288";1005722;1006773;-1
"2";"ASTE006340";"KB664288";1008242;1008592;1
"3";"ASTE006344";"KB664288";1038876;1039100;1
"4";"ASTE006295";"KB664288";155385;156920;1
"5";"ASTE006347";"KB664288";1192740;1194251;-1
"6";"ASTE006353";"KB664288";1236418;1237394;-1
"7";"ASTE006354";"KB664288";1238109;1239988;1
"8";"ASTE006356";"KB664288";1242846;1250039;1
"9";"ASTE006360";"KB664288";1301481;1302284;-1
"10";"ASTE006294";"KB664288";137040;138278;1
"11";"ASTE006371";"KB664288";1456175;1458557;1
"12";"ASTE006379";"KB664288";1503974;1504546;-1
"13";"ASTE006395";"KB664288";1803597;1805839;1
"14";"ASTE006404";"KB664288";1912542;1914303;1
"15";"ASTE006406";"KB664288";2026341;2029490;-1
"16";"ASTE006414";"KB664288";2121713;2122525;1
"17";"ASTE006419";"KB664288";2157985;2159017;-1
"18";"ASTE006428";"KB664288";2371439;2372952;1
"19";"ASTE015940";"KB664966";762019;763448;-1
"20";"ASTE006431";"KB664288";2394098;2395528;1
"21";"ASTE006434";"KB664288";2506519;2508348;-1
"22";"ASTE006446";"KB664288";2599058;2600638;-1
"23";"ASTE006468";"KB664288";3047704;3050029;1
"24";"ASTE006477";"KB664288";3129049;3130163;1
"25";"ASTE006471";"KB664288";3108823;3109752;1
"26";"ASTE006474";"KB664288";3118455;3119934;1
"27";"ASTE006484";"KB664288";3207016;3207834;1
"28";"ASTE006301";"KB664288";441966;443672;-1
"29";"ASTE006314";"KB664288";637064;637843;1
"30";"ASTE006319";"KB664288";734612;735430;1
"31";"ASTE006327";"KB664288";817109;826413;1
"32";"ASTE006329";"KB664288";878679;879830;-1
"33";"ASTE006330";"KB664288";895000;895287;-1
"34";"ASTE006358";"KB664288";1272687;1274171;-1
"35";"ASTE006355";"KB664288";1239279;1242378;-1
"36";"ASTE006363";"KB664288";1325431;1326578;-1
"37";"ASTE006377";"KB664288";1492815;1493268;1
"38";"ASTE006378";"KB664288";1498627;1499916;1
"39";"ASTE006380";"KB664288";1515493;1516971;-1
"40";"ASTE006396";"KB664288";1806089;1807301;-1
"41";"ASTE006393";"KB664288";1797053;1797740;1
"42";"ASTE006410";"KB664288";2045174;2045356;1
"43";"ASTE006405";"KB664288";2014142;2017256;1
"44";"ASTE006423";"KB664288";2316940;2318996;-1
"45";"ASTE006435";"KB664288";2508738;2512099;-1
"46";"ASTE006454";"KB664288";2725983;2726921;-1
"47";"ASTE006451";"KB664288";2696994;2697845;-1
"48";"ASTE006482";"KB664288";3166360;3166886;1
"49";"ASTE006470";"KB664288";3102517;3107780;-1
"50";"ASTE006308";"KB664288";607786;607980;-1
"51";"ASTE006320";"KB664288";741506;742149;-1
"52";"ASTE006326";"KB664288";791475;796811;-1
"53";"ASTE006328";"KB664288";866924;868952;1
"54";"ASTE006337";"KB664288";998268;999680;-1
"55";"ASTE006342";"KB664288";1012706;1013651;1
"56";"ASTE006336";"KB664288";993239;994239;-1
"57";"ASTE006341";"KB664288";1009597;1010986;-1
"58";"ASTE006338";"KB664288";1000380;1005663;1
"59";"ASTE006292";"KB664288";115848;119206;-1
"60";"ASTE006350";"KB664288";1223899;1227140;1
"61";"ASTE006352";"KB664288";1233303;1235625;1
"62";"ASTE006348";"KB664288";1194585;1197877;1
"63";"ASTE006366";"KB664288";1339362;1346447;-1
"64";"ASTE006365";"KB664288";1330064;1332638;-1
"65";"ASTE006359";"KB664288";1274961;1301306;1
"66";"ASTE006368";"KB664288";1361602;1363542;1
"67";"ASTE006369";"KB664288";1379684;1385396;1
"68";"ASTE006375";"KB664288";1482781;1483839;-1
"69";"ASTE006373";"KB664288";1474660;1476392;-1
"70";"ASTE006374";"KB664288";1481542;1482580;1
"71";"ASTE006372";"KB664288";1463560;1473696;1
"72";"ASTE006381";"KB664288";1517313;1520216;-1
"73";"ASTE006383";"KB664288";1532613;1535884;1
"74";"ASTE006382";"KB664288";1523356;1529326;1
"75";"ASTE006384";"KB664288";1557482;1564239;1
"76";"ASTE006385";"KB664288";1565452;1580704;-1
"77";"ASTE006388";"KB664288";1622641;1625099;1
"78";"ASTE006389";"KB664288";1664513;1672751;1
"79";"ASTE015892";"KB664610";984523;986023;-1
"80";"ASTE006391";"KB664288";1768198;1769745;1
"81";"ASTE006392";"KB664288";1783669;1790751;-1
"82";"ASTE006397";"KB664288";1808738;1809496;1
"83";"ASTE006401";"KB664288";1835737;1837215;1
"84";"ASTE006400";"KB664288";1831319;1835527;1
"85";"ASTE006402";"KB664288";1837455;1846891;-1
"86";"ASTE006403";"KB664288";1905225;1907560;1
"87";"ASTE006408";"KB664288";2038013;2040658;-1
"88";"ASTE006409";"KB664288";2042257;2054079;-1
"89";"ASTE006407";"KB664288";2032603;2037714;1
"90";"ASTE006416";"KB664288";2125116;2126141;1
"91";"ASTE006415";"KB664288";2123198;2124680;-1
"92";"ASTE006420";"KB664288";2172711;2178069;-1
"93";"ASTE006412";"KB664288";2104653;2107090;1
"94";"ASTE006413";"KB664288";2117834;2121375;1
"95";"ASTE006421";"KB664288";2198436;2213430;-1
"96";"ASTE006422";"KB664288";2221247;2227113;-1
"97";"ASTE006424";"KB664288";2337162;2338318;-1
"98";"ASTE006425";"KB664288";2339352;2341069;1
"99";"ASTE006429";"KB664288";2383152;2387071;1
"100";"ASTE006433";"KB664288";2487293;2488179;-1
"101";"ASTE006440";"KB664288";2543702;2553770;1
"102";"ASTE006438";"KB664288";2534172;2535906;1
"103";"ASTE006439";"KB664288";2536535;2537030;-1
"104";"ASTE006441";"KB664288";2556937;2559376;-1
"105";"ASTE006448";"KB664288";2641959;2645921;-1
"106";"ASTE006445";"KB664288";2594386;2598717;1
"107";"ASTE006447";"KB664288";2625892;2641761;1
"108";"ASTE006449";"KB664288";2646820;2654448;1
"109";"ASTE006450";"KB664288";2685816;2691497;1
"110";"ASTE006457";"KB664288";2745514;2748839;1
"111";"ASTE006458";"KB664288";2749137;2750796;1
"112";"ASTE006459";"KB664288";2750838;2756303;-1
"113";"ASTE006462";"KB664288";2775573;2778695;-1
"114";"ASTE006460";"KB664288";2757259;2757986;1
"115";"ASTE006455";"KB664288";2735363;2744422;1
"116";"ASTE006464";"KB664288";2785828;2787370;-1
"117";"ASTE006461";"KB664288";2770134;2775138;1
"118";"ASTE006465";"KB664288";2788740;2793890;1
"119";"ASTE006456";"KB664288";2742204;2742819;-1
"120";"ASTE006296";"KB664288";210500;212778;1
"121";"ASTE006466";"KB664288";2795029;2810135;1
"122";"ASTE006297";"KB664288";237690;243174;-1
"123";"ASTE006467";"KB664288";3022422;3022903;1
"124";"ASTE006469";"KB664288";3100620;3105502;1
"125";"ASTE006481";"KB664288";3162890;3165316;-1
"126";"ASTE006480";"KB664288";3152089;3162007;1
"127";"ASTE006487";"KB664288";3230708;3231922;-1
"128";"ASTE006486";"KB664288";3226378;3229663;1
"129";"ASTE006489";"KB664288";3303118;3306336;1
"130";"ASTE006302";"KB664288";445084;446126;1
"131";"ASTE006303";"KB664288";446910;456922;1
"132";"ASTE006300";"KB664288";432567;441536;1
"133";"ASTE006316";"KB664288";642677;647958;1
"134";"ASTE006310";"KB664288";617056;620919;1
"135";"ASTE006313";"KB664288";628580;629863;1
"136";"ASTE006311";"KB664288";621096;623810;-1
"137";"ASTE006315";"KB664288";639588;642179;-1
"138";"ASTE006312";"KB664288";625906;635774;-1
"139";"ASTE006306";"KB664288";602507;604346;1
"140";"ASTE006307";"KB664288";606526;607585;1
"141";"ASTE006317";"KB664288";648911;655078;-1
"142";"ASTE006322";"KB664288";768760;773574;1
"143";"ASTE006325";"KB664288";787258;789047;1
"144";"ASTE006323";"KB664288";778516;783362;-1
"145";"ASTE006332";"KB664288";970010;974061;1
"146";"ASTE006331";"KB664288";966701;969530;-1
"147";"ASTE006335";"KB664288";986065;986864;-1
"148";"ASTE006333";"KB664288";974411;976541;-1
"149";"ASTE006343";"KB664288";1015041;1018158;-1
"150";"ASTE006345";"KB664288";1085335;1090551;-1
"151";"ASTE006346";"KB664288";1160153;1161996;-1
"152";"ASTE006293";"KB664288";120818;131806;1
"153";"ASTE006291";"KB664288";91693;107527;1
"154";"ASTE006351";"KB664288";1230833;1232321;-1
"155";"ASTE006349";"KB664288";1201105;1205148;-1
"156";"ASTE006357";"KB664288";1249143;1249569;-1
"157";"ASTE006362";"KB664288";1314213;1317924;-1
"158";"ASTE006364";"KB664288";1326885;1328527;1
"159";"ASTE006367";"KB664288";1353675;1361545;1
"160";"ASTE006361";"KB664288";1309139;1311914;-1
"161";"ASTE006376";"KB664288";1484147;1487417;1
"162";"ASTE006370";"KB664288";1442908;1447972;1
"163";"ASTE006386";"KB664288";1605077;1608305;-1
"164";"ASTE006390";"KB664288";1763051;1779069;-1
"165";"ASTE006399";"KB664288";1812419;1827365;1
"166";"ASTE006398";"KB664288";1809629;1811571;-1
"167";"ASTE006394";"KB664288";1799086;1801258;-1
"168";"ASTE006411";"KB664288";2069837;2071923;-1
"169";"ASTE006417";"KB664288";2126318;2144652;-1
"170";"ASTE006418";"KB664288";2154271;2156420;1
