"ensembl_gene_id";"agambiae_eg_gene"
"ASTE006339";"AGAP013725"
"ASTE006340";"AGAP028023"
"ASTE006344";"AGAP007974"
"ASTE006295";"AGAP008025"
"ASTE006347";"AGAP013500"
"ASTE006353";"AGAP007966"
"ASTE006354";"AGAP007965"
"ASTE006356";"AGAP007964"
"ASTE006294";"AGAP013728"
"ASTE006371";"AGAP007737"
"ASTE006395";"AGAP007766"
"ASTE006406";"AGAP007777"
"ASTE006414";"AGAP007785"
"ASTE006419";"AGAP007790"
"ASTE006428";"AGAP007797"
"ASTE015940";"AGAP002203"
"ASTE015940";"AGAP013311"
"ASTE006431";"AGAP007800"
"ASTE006434";"AGAP007802"
"ASTE006446";"AGAP007809"
"ASTE006477";"AGAP007945"
"ASTE006471";"AGAP007950"
"ASTE006474";"AGAP007947"
"ASTE006301";"AGAP008015"
"ASTE006314";"AGAP008001"
"ASTE006319";"AGAP007994"
"ASTE006327";"AGAP007987"
"ASTE006329";"AGAP007985"
"ASTE006358";"AGAP007962"
"ASTE006355";"AGAP013745"
"ASTE006363";"AGAP007956"
"ASTE006378";"AGAP007743"
"ASTE006396";"AGAP007767"
"ASTE006393";"AGAP007764"
"ASTE006410";"AGAP013717"
"ASTE006405";"AGAP007776"
"ASTE006435";"AGAP007802"
"ASTE006454";"AGAP007824"
"ASTE006451";"AGAP007822"
"ASTE006482";"AGAP007937"
"ASTE006470";"AGAP007951"
"ASTE006308";"AGAP008008"
"ASTE006320";"AGAP013715"
"ASTE006326";"AGAP007989"
"ASTE006328";"AGAP011480"
"ASTE006337";"AGAP013732"
"ASTE006342";"AGAP007976"
"ASTE006336";"AGAP007979"
"ASTE006341";"AGAP007977"
"ASTE006338";"AGAP007978"
"ASTE006292";"AGAP008027"
"ASTE006350";"AGAP007969"
"ASTE006352";"AGAP007967"
"ASTE006348";"AGAP007971"
"ASTE006348";"AGAP028169"
"ASTE006348";"AGAP028103"
"ASTE006366";"AGAP007731"
"ASTE006365";"AGAP007954"
"ASTE006359";"AGAP007961"
"ASTE006359";"AGAP007960"
"ASTE006369";"AGAP007734"
"ASTE006375";"AGAP007741"
"ASTE006373";"AGAP007739"
"ASTE006374";"AGAP007740"
"ASTE006372";"AGAP007738"
"ASTE006381";"AGAP007746"
"ASTE006383";"AGAP007749"
"ASTE006382";"AGAP013766"
"ASTE006384";"AGAP007751"
"ASTE006385";"AGAP007754"
"ASTE006385";"AGAP007753"
"ASTE006385";"AGAP007755"
"ASTE006388";"AGAP028028"
"ASTE006388";"AGAP028064"
"ASTE006389";"AGAP007759"
"ASTE015892";"AGAP006667"
"ASTE006391";"AGAP007762"
"ASTE006392";"AGAP007763"
"ASTE006397";"AGAP007768"
"ASTE006401";"AGAP007773"
"ASTE006400";"AGAP007772"
"ASTE006402";"AGAP007774"
"ASTE006403";"AGAP007775"
"ASTE006408";"AGAP007779"
"ASTE006409";"AGAP007780"
"ASTE006407";"AGAP007778"
"ASTE006416";"AGAP007787"
"ASTE006415";"AGAP007786"
"ASTE006420";"AGAP007791"
"ASTE006412";"AGAP007783"
"ASTE006413";"AGAP007784"
"ASTE006421";"AGAP007792"
"ASTE006424";"AGAP007793"
"ASTE006425";"AGAP007794"
"ASTE006429";"AGAP007798"
"ASTE006433";"AGAP028547"
"ASTE006440";"AGAP007807"
"ASTE006438";"AGAP007805"
"ASTE006439";"AGAP007806"
"ASTE006441";"AGAP028215"
"ASTE006448";"AGAP028144"
"ASTE006445";"AGAP007811"
"ASTE006447";"AGAP007815"
"ASTE006449";"AGAP007819"
"ASTE006457";"AGAP007827"
"ASTE006458";"AGAP007828"
"ASTE006459";"AGAP028736"
"ASTE006462";"AGAP007832"
"ASTE006460";"AGAP007830"
"ASTE006455";"AGAP007825"
"ASTE006464";"AGAP007834"
"ASTE006461";"AGAP007831"
"ASTE006465";"AGAP007835"
"ASTE006456";"AGAP013722"
"ASTE006466";"AGAP007836"
"ASTE006297";"AGAP008023"
"ASTE006469";"AGAP012754"
"ASTE006469";"AGAP007952"
"ASTE006481";"AGAP007938"
"ASTE006480";"AGAP007939"
"ASTE006487";"AGAP007933"
"ASTE006486";"AGAP007934"
"ASTE006489";"AGAP007930"
"ASTE006303";"AGAP008013"
"ASTE006300";"AGAP008016"
"ASTE006316";"AGAP007999"
"ASTE006310";"AGAP008006"
"ASTE006313";"AGAP008004"
"ASTE006311";"AGAP008005"
"ASTE006315";"AGAP008000"
"ASTE006312";"AGAP008002"
"ASTE006306";"AGAP008009"
"ASTE006307";"AGAP013747"
"ASTE006317";"AGAP007998"
"ASTE006322";"AGAP007992"
"ASTE006325";"AGAP007990"
"ASTE006323";"AGAP028135"
"ASTE006332";"AGAP007983"
"ASTE006331";"AGAP007984"
"ASTE006335";"AGAP007980"
"ASTE006333";"AGAP007982"
"ASTE006343";"AGAP007975"
"ASTE006345";"AGAP007973"
"ASTE006293";"AGAP008026"
"ASTE006291";"AGAP008028"
"ASTE006351";"AGAP007968"
"ASTE006349";"AGAP007970"
"ASTE006357";"AGAP007963"
"ASTE006362";"AGAP007957"
"ASTE006364";"AGAP007955"
"ASTE006367";"AGAP007732"
"ASTE006367";"AGAP007733"
"ASTE006361";"AGAP007958"
"ASTE006376";"AGAP007742"
"ASTE006370";"AGAP007736"
"ASTE006390";"AGAP007761"
"ASTE006399";"AGAP007771"
"ASTE006398";"AGAP007769"
"ASTE006394";"AGAP007765"
"ASTE006411";"AGAP007782"
"ASTE006417";"AGAP007788"
"ASTE006418";"AGAP007789"
"ASTE006427";"AGAP007796"
"ASTE006430";"AGAP007799"
"ASTE006426";"AGAP007795"
"ASTE006432";"AGAP007801"
"ASTE006436";"AGAP007803"
"ASTE006444";"AGAP007810"
"ASTE006437";"AGAP007804"
"ASTE006443";"AGAP007808"
"ASTE006452";"AGAP007823"
"ASTE006463";"AGAP007833"
"ASTE006475";"AGAP013738"
"ASTE006473";"AGAP007949"
"ASTE006478";"AGAP007942"
"ASTE006479";"AGAP007941"
"ASTE006483";"AGAP007936"
"ASTE006476";"AGAP007946"
"ASTE006472";"AGAP007948"
"ASTE006299";"AGAP008017"
"ASTE006485";"AGAP007935"
"ASTE006488";"AGAP007932"
"ASTE006304";"AGAP008011"
"ASTE006305";"AGAP008010"
"ASTE006309";"AGAP008007"
"ASTE006318";"AGAP007996"
"ASTE006321";"AGAP007993"
"ASTE006324";"AGAP007991"
"ASTE006334";"AGAP007981"
"ASTE014717";"AGAP007988"
"ASTE014737";"AGAP007943"
"ASTE014734";"AGAP007944"
"ASTE005855";"AGAP007358"
"ASTE005856";"AGAP007359"
"ASTE005858";"AGAP007362"
"ASTE005893";"AGAP007406"
"ASTE005894";"AGAP000871"
"ASTE005894";"AGAP007411"
"ASTE005896";"AGAP007413"
"ASTE005815";"AGAP007311"
"ASTE005909";"AGAP007439"
"ASTE005905";"AGAP007421"
"ASTE005911";"AGAP007443"
"ASTE005915";"AGAP007451"
"ASTE005917";"AGAP007453"
"ASTE005918";"AGAP007454"
"ASTE005924";"AGAP007461"
"ASTE005922";"AGAP007458"
"ASTE005820";"AGAP007317"
"ASTE005932";"AGAP007479"
"ASTE005948";"AGAP007500"
"ASTE005940";"AGAP007492"
"ASTE005941";"AGAP007493"
"ASTE005941";"AGAP013547"
"ASTE005953";"AGAP007505"
"ASTE005877";"AGAP007384"
"ASTE005880";"AGAP007389"
"ASTE005906";"AGAP007422"
"ASTE005912";"AGAP007446"
"ASTE005910";"AGAP007442"
"ASTE005925";"AGAP007468"
"ASTE005925";"AGAP007470"
"ASTE005925";"AGAP007467"
"ASTE005925";"AGAP007469"
"ASTE005925";"AGAP007471"
"ASTE005956";"AGAP007510"
"ASTE005863";"AGAP007368"
"ASTE005859";"AGAP007363"
"ASTE005857";"AGAP007361"
"ASTE005874";"AGAP007379"
"ASTE005869";"AGAP007374"
"ASTE005870";"AGAP007375"
"ASTE005866";"AGAP007370"
"ASTE005873";"AGAP013544"
"ASTE005885";"AGAP007394"
"ASTE005875";"AGAP007382"
"ASTE005879";"AGAP007388"
"ASTE005881";"AGAP007390"
"ASTE005883";"AGAP007392"
"ASTE005876";"AGAP007383"
"ASTE005882";"AGAP007391"
"ASTE005884";"AGAP007393"
"ASTE005886";"AGAP007395"
"ASTE005814";"AGAP007309"
"ASTE005816";"AGAP007312"
"ASTE005817";"AGAP007313"
"ASTE005891";"AGAP007400"
"ASTE005892";"AGAP007402"
"ASTE005892";"AGAP007405"
"ASTE005897";"AGAP007414"
"ASTE005903";"AGAP007419"
"ASTE005901";"AGAP007417"
"ASTE005902";"AGAP007418"
"ASTE005904";"AGAP007420"
"ASTE005908";"AGAP007423"
"ASTE005919";"AGAP007456"
"ASTE005913";"AGAP007440"
"ASTE005914";"AGAP007450"
"ASTE005916";"AGAP007452"
"ASTE005927";"AGAP007473"
"ASTE005928";"AGAP007474"
"ASTE005923";"AGAP007459"
"ASTE005934";"AGAP007483"
"ASTE005930";"AGAP007477"
"ASTE005929";"AGAP007475"
"ASTE005938";"AGAP007490"
"ASTE015910";"AGAP000088"
"ASTE005936";"AGAP007488"
"ASTE005957";"AGAP007511"
"ASTE005951";"AGAP007503"
"ASTE005955";"AGAP007509"
"ASTE005944";"AGAP007497"
"ASTE005939";"AGAP007491"
"ASTE005946";"AGAP007499"
"ASTE005950";"AGAP007502"
"ASTE005952";"AGAP007504"
"ASTE005949";"AGAP007501"
"ASTE005825";"AGAP007324"
"ASTE005822";"AGAP007319"
"ASTE005822";"AGAP007320"
"ASTE005822";"AGAP007318"
"ASTE005822";"AGAP007321"
"ASTE005823";"AGAP007322"
"ASTE005827";"AGAP007326"
"ASTE005831";"AGAP007332"
"ASTE005832";"AGAP007333"
"ASTE005833";"AGAP007335"
"ASTE005837";"AGAP007339"
"ASTE005834";"AGAP007336"
"ASTE005840";"AGAP007340"
"ASTE005842";"AGAP007341"
"ASTE005843";"AGAP007342"
"ASTE005845";"AGAP007348"
"ASTE005861";"AGAP007366"
"ASTE005865";"AGAP007369"
"ASTE005864";"AGAP007367"
"ASTE005860";"AGAP007365"
"ASTE005868";"AGAP007373"
"ASTE005867";"AGAP007371"
"ASTE005871";"AGAP013291"
"ASTE005878";"AGAP007386"
"ASTE005818";"AGAP007314"
"ASTE005819";"AGAP007316"
"ASTE005887";"AGAP007396"
"ASTE005890";"AGAP007399"
"ASTE005899";"AGAP007415"
"ASTE005888";"AGAP007397"
"ASTE005889";"AGAP007398"
"ASTE005813";"AGAP007308"
"ASTE005900";"AGAP007416"
"ASTE005920";"AGAP007457"
"ASTE005926";"AGAP007472"
"ASTE005937";"AGAP007487"
"ASTE005931";"AGAP007478"
"ASTE005935";"AGAP007484"
"ASTE005943";"AGAP007495"
"ASTE005943";"AGAP007496"
"ASTE005942";"AGAP007494"
"ASTE005945";"AGAP007498"
"ASTE005954";"AGAP007506"
"ASTE005826";"AGAP007325"
"ASTE005828";"AGAP007327"
"ASTE005835";"AGAP007337"
"ASTE005836";"AGAP007338"
"ASTE005839";"AGAP007340"
"ASTE005847";"AGAP007349"
"ASTE005851";"AGAP007353"
"ASTE005846";"AGAP007343"
"ASTE014662";"AGAP007319"
"ASTE014662";"AGAP007320"
"ASTE014662";"AGAP007318"
"ASTE014662";"AGAP007321"
"ASTE014682";"AGAP007495"
"ASTE014682";"AGAP007496"
"ASTE009935";"AGAP003068"
"ASTE009936";"AGAP003069"
"ASTE009931";"AGAP003060"
"ASTE009937";"AGAP003070"
"ASTE009943";"AGAP003074"
"ASTE009946";"AGAP003077"
"ASTE009945";"AGAP003076"
"ASTE009947";"AGAP003078"
"ASTE009949";"AGAP003081"
"ASTE009952";"AGAP003085"
"ASTE009962";"AGAP003094"
"ASTE009969";"AGAP003114"
"ASTE009955";"AGAP003088"
"ASTE009956";"AGAP003087"
"ASTE015866";"AGAP002898"
"ASTE015867";"AGAP028605"
"ASTE009957";"AGAP003089"
"ASTE009958";"AGAP003090"
"ASTE009968";"AGAP003112"
"ASTE009961";"AGAP003093"
"ASTE009963";"AGAP003095"
"ASTE009966";"AGAP003108"
"ASTE009932";"AGAP003062"
"ASTE015901";"AGAP005515"
"ASTE009951";"AGAP003084"
"ASTE009950";"AGAP013368"
"ASTE009948";"AGAP003080"
"ASTE009960";"AGAP003092"
"ASTE009933";"AGAP003063"
"ASTE009944";"AGAP003075"
"ASTE009953";"AGAP028404"
"ASTE009959";"AGAP003091"
"ASTE009965";"AGAP003106"
"ASTE009938";"AGAP003071"
"ASTE009954";"AGAP013263"
"ASTE004103";"AGAP004158"
"ASTE004107";"AGAP004162"
"ASTE004115";"AGAP004169"
"ASTE004120";"AGAP004174"
"ASTE004128";"AGAP004182"
"ASTE004139";"AGAP004192"
"ASTE004106";"AGAP004161"
"ASTE004104";"AGAP004159"
"ASTE015874";"AGAP009391"
"ASTE004112";"AGAP004167"
"ASTE004109";"AGAP004163"
"ASTE004116";"AGAP012765"
"ASTE004116";"AGAP009576"
"ASTE004121";"AGAP004175"
"ASTE004124";"AGAP004179"
"ASTE004122";"AGAP013223"
"ASTE004122";"AGAP004177"
"ASTE004123";"AGAP004178"
"ASTE004119";"AGAP012702"
"ASTE004119";"AGAP004173"
"ASTE004138";"AGAP004191"
"ASTE004134";"AGAP004196"
"ASTE004135";"AGAP004197"
"ASTE004135";"AGAP010329"
"ASTE004135";"AGAP004687"
"ASTE004135";"AGAP012438"
"ASTE004135";"AGAP012583"
"ASTE004135";"AGAP012912"
"ASTE004135";"AGAP012497"
"ASTE004133";"AGAP004189"
"ASTE004133";"AGAP004195"
